City,Date,AQI,AQI_Bucket
Delhi,2020-07-02,111,Moderate
Delhi,2020-07-03,118,Moderate
Delhi,2020-07-04,113,Moderate
Delhi,2020-07-05,115,Moderate
Delhi,2020-07-06,105,Moderate
Delhi,2020-07-07,108,Moderate
Delhi,2020-07-08,104,Moderate
Delhi,2020-07-09,106,Moderate
Delhi,2020-07-10,103,Moderate
Delhi,2020-07-11,100,Satisfactory
Delhi,2020-07-12,100,Satisfactory
Delhi,2020-07-13,119,Moderate
Delhi,2020-07-14,118,Moderate
Delhi,2020-07-15,116,Moderate
Chennai,2020-07-02,115,Moderate
Chennai,2020-07-03,103,Moderate
Chennai,2020-07-04,112,Moderate
Chennai,2020-07-05,104,Moderate
Chennai,2020-07-06,108,Moderate
Chennai,2020-07-07,98,Satisfactory
Chennai,2020-07-08,98,Satisfactory
Chennai,2020-07-09,97,Satisfactory
Chennai,2020-07-10,92,Satisfactory
Chennai,2020-07-11,88,Satisfactory
Chennai,2020-07-12,90,Satisfactory
Chennai,2020-07-13,90,Satisfactory
Chennai,2020-07-14,88,Satisfactory
Chennai,2020-07-15,90,Satisfactory
Bengaluru,2020-07-02,62,Satisfactory
Bengaluru,2020-07-03,57,Satisfactory
Bengaluru,2020-07-04,56,Satisfactory
Bengaluru,2020-07-05,57,Satisfactory
Bengaluru,2020-07-06,54,Satisfactory
Bengaluru,2020-07-07,52,Satisfactory
Bengaluru,2020-07-08,54,Satisfactory
Bengaluru,2020-07-09,52,Satisfactory
Bengaluru,2020-07-10,54,Satisfactory
Bengaluru,2020-07-11,55,Satisfactory
Bengaluru,2020-07-12,57,Satisfactory
Bengaluru,2020-07-13,66,Satisfactory
Bengaluru,2020-07-14,69,Satisfactory
Bengaluru,2020-07-15,71,Satisfactory
Mumbai,2020-07-02,53,Satisfactory
Mumbai,2020-07-03,52,Satisfactory
Mumbai,2020-07-04,52,Satisfactory
Mumbai,2020-07-05,52,Satisfactory
Mumbai,2020-07-06,53,Satisfactory
Mumbai,2020-07-07,53,Satisfactory
Mumbai,2020-07-08,53,Satisfactory
Mumbai,2020-07-09,52,Satisfactory
Mumbai,2020-07-10,53,Satisfactory
Mumbai,2020-07-11,52,Satisfactory
Mumbai,2020-07-12,53,Satisfactory
Mumbai,2020-07-13,52,Satisfactory
Mumbai,2020-07-14,53,Satisfactory
Mumbai,2020-07-15,52,Satisfactory
Lucknow,2020-07-02,87,Satisfactory
Lucknow,2020-07-03,94,Satisfactory
Lucknow,2020-07-04,101,Moderate
Lucknow,2020-07-05,130,Moderate
Lucknow,2020-07-06,129,Moderate
Lucknow,2020-07-07,129,Moderate
Lucknow,2020-07-08,121,Moderate
Lucknow,2020-07-09,117,Moderate
Lucknow,2020-07-10,117,Moderate
Lucknow,2020-07-11,132,Moderate
Lucknow,2020-07-12,118,Moderate
Lucknow,2020-07-13,131,Moderate
Lucknow,2020-07-14,124,Moderate
Lucknow,2020-07-15,122,Moderate
Ahmedabad,2020-07-02,139,Moderate
Ahmedabad,2020-07-03,135,Moderate
Ahmedabad,2020-07-04,130,Moderate
Ahmedabad,2020-07-05,130,Moderate
Ahmedabad,2020-07-06,141,Moderate
Ahmedabad,2020-07-07,137,Moderate
Ahmedabad,2020-07-08,134,Moderate
Ahmedabad,2020-07-09,128,Moderate
Ahmedabad,2020-07-10,127,Moderate
Ahmedabad,2020-07-11,125,Moderate
Ahmedabad,2020-07-12,125,Moderate
Ahmedabad,2020-07-13,140,Moderate
Ahmedabad,2020-07-14,135,Moderate
Ahmedabad,2020-07-15,131,Moderate
Hyderabad,2020-07-02,44,Good
Hyderabad,2020-07-03,42,Good
Hyderabad,2020-07-04,42,Good
Hyderabad,2020-07-05,44,Good
Hyderabad,2020-07-06,40,Good
Hyderabad,2020-07-07,41,Good
Hyderabad,2020-07-08,41,Good
Hyderabad,2020-07-09,41,Good
Hyderabad,2020-07-10,44,Good
Hyderabad,2020-07-11,43,Good
Hyderabad,2020-07-12,44,Good
Hyderabad,2020-07-13,42,Good
Hyderabad,2020-07-14,43,Good
Hyderabad,2020-07-15,50,Good
Patna,2020-07-02,96,Satisfactory
Patna,2020-07-03,95,Satisfactory
Patna,2020-07-04,97,Satisfactory
Patna,2020-07-05,94,Satisfactory
Patna,2020-07-06,95,Satisfactory
Patna,2020-07-07,97,Satisfactory
Patna,2020-07-08,96,Satisfactory
Patna,2020-07-09,96,Satisfactory
Patna,2020-07-10,95,Satisfactory
Patna,2020-07-11,92,Satisfactory
Patna,2020-07-12,85,Satisfactory
Patna,2020-07-13,87,Satisfactory
Patna,2020-07-14,86,Satisfactory
Patna,2020-07-15,88,Satisfactory
Gurugram,2020-07-02,150,Moderate
Gurugram,2020-07-03,148,Moderate
Gurugram,2020-07-04,151,Moderate
Gurugram,2020-07-05,148,Moderate
Gurugram,2020-07-06,151,Moderate
Gurugram,2020-07-07,148,Moderate
Gurugram,2020-07-08,150,Moderate
Gurugram,2020-07-09,149,Moderate
Gurugram,2020-07-10,146,Moderate
